infinite-build-run;неактивны кнопки пересборки/перезапуска
infinite-build-run;Нет логов
infinite-build-run;статус «Выполняется запуск» наблюдается более 5 минут
errors-in-logs;No such file or directory
errors-in-logs;> npx npm-run-all --parallel start start:bot
errors-in-logs;sh: 1: npm-run-all: Permission denied
errors-in-logs;no such file or directory: unknown
errors-in-logs;Error: Unable to access jarfile
errors-in-logs;Контейнер перешел в статус DELETED
errors-in-logs;ModuleNotFoundError: No module named 'install'
errors-in-logs;Error: [Errno 13] Permission denied: '/app/venv'
errors-in-logs;ModuleNotFoundError: No module named 'aiogram
errors-in-logs;получаю ошибку no main manifest attribute, in *.jar но файл MANIFEST.MF есть в проекте и загружен
enverror;почему не запускается проект. логи /app/venv/bin/activate: No such file or directory
enverror;развертывание завершилосо с ошибкой. Проверьте правильность amvera.yaml/dockerfile
enverror;ошибка развертывания
enverror;ошибка возникает при запуске или сборке проекта /app/venv/bin/activate: No such file or directory
enverror;Error: [Errno 13] Permission denied: '/app/venv'
enverror; Не удается пересобрать проект после замены файла
enverror;Error: [Errno 13] Permission denied: '/app/venv'
enverror;No module named pip
enverror;после пересборки проекта статус завис на выполняется сборка, пробовал пересобрать через конфигурацию, потом заморозил и больше проект не поднимается
enverror;В логах приложения - bash: line 1: /app/venv/bin/activate: No such file or directory
enverror;В логах сборки  Error: [Errno 13] Permission denied: '/app/venv'
enverror;Error: Command '['/app/venv/bin/python3', '-Im', 'ensurepip', '--upgrade', '--default-pip']' returned non-zero exit status 1.
enverror;тыкнул пересобрать проект и получил ошибку
enverror;Завис в состоянии «Выполняется сборка»
enverror;/app/venv/bin/python3 No module named pip.__main__ pip is a package and can not be directly executed
enverror;ERROR: Could not install packages due to an OSError: [Errno 13] Permission denied: '/.local' Check the permissions.
enverror;как решить ошибку «No module named pip»
enverror;не могу зайти в папку /data в репозитории
enverror;чтобы файлы дописывались, их именно в папку /data класть
enverror;при сборке проекта выдает ошибку 500 и ничего не запускается
enverror; выполнил инструкцию подключения гитхаба  Добавил вебхук к репозитории добавил секрет ветка master Делаю пуш на гитхаб но хостинг так и не взял проект с гитхаба
enverror; Попробовал подключить обычного echo bot из aiogram, но в логах повторяется ошибка bash: line 1: /app/venv/bin/activate: No such file or directory
enverror;Зафиксирован ошибка сборки
enverror;ModuleNotFoundError:  No module named pip._internal.models.scheme
enverror;Не могу перезапустить бота
enverror;bash: line 1: /app/venv/bin/gunicorn: Permission denied
enverror;ERROR: Could not install packages due to an OSError: [Errno 13] Permission denied: '/.local'
502-503-error;npm error enoent
502-503-error;npm error enoent This is related to npm not being able to find a file.
502-503-error;npm error enoent Could not read package.json: Error: ENOENT: no such file or directory, open '/app/package.json'
502-503-error;A complete log of this run can be found in
502-503-error;почему-то сайт не работает, ошибка 502
502-503-error;я указываю порт только при внешнем доменном имени. Если не указываю, то ловлю 502
502-503-error;502 и 503 ошибки
502-503-error;вижу ошибку 404 page not found на странице
502-503-error;вижу 502 ошибку по https если подключаться
502-503-error;ошибку 502 мне выдает сервер амверы, а не мой
502-503-error; на домене 502 висит и api не работает
502-503-error;502 ошибка с чем связана
502-503-error;у меня 502 ошибка с приложением на PHP
502-503-error; когда открываю мини приложение, там просто серый экран
502-503-error;У меня пакет требует сборку с CGO_ENABLED=0, проект собирается но при этом 503 ошибка
502-503-error;Делал всё по инструкции, но домен  не открывается. ошибка 503
502-503-error;при открытии страницы пишет плохой шлюз
502-503-error;" при запуске приложения получаю ошибку ""Приложение запускается или работает с ошибкой через минуту показывает ""Приложение запущено"". После перехода по url появляется ошибка 502 Bad Gateway"
502-503-error;как остановить работу скрипта у себя
502-503-error;обновил некоторые файлы в проекте, и сейчас 502 словил, но до обновления файлов домен подключал
502-503-error;502 ошибка
502-503-error;Всё запускается, но по ссылке получаю 502 ошибку. В логах пишет что приложение собрано и запущено.
502-503-error;при открытии Tg WebApp появляется ошибка 502, но со стороны сервера нет никаких предупреждений и ошибок
502-503-error;сборку произвел, запуск произошел, но при переходе по внешней ссылке открывает 404 ошибку. Если делать локально на своем устройство, то по внутреннему адресу все открывается
502-503-error; We got Status Code: 502
502-503-error;создаю Телеграм бота для работы в pyrus, из телеграмма сообщение отправляется в pyrus но когда я отправляю из pyrus то сообщение не доходит и в pyrus у меня статус по боту 502
502-503-error;. После отправки запроса получен ответ  502 Bad Gateway
502-503-error;"Статус ""запускается или работает с ошибкой"""
502-503-error;пишет запущено, но боты все равно не работают
502-503-error; разработал бота на платформе pyrus и при обращение по URL pyrus-mvn.amvera.io у меня выходит 502 ошибка
502-503-error;Создал Dockerfile, но сайт также выдает 502 nginx ошибку
502-503-error;Есть flask проект на python  все работает, но когда пытаюсь перейти по ссылке ничего не грузит
502-503-error;Ошибок никаких Но, Nginx не связывает
502-503-error; Пытаюсь задеплоить проект, все успешно развертывается, но ошибка 502
502-503-error;502 плохих шлюза
502-503-error;nginx бросает 502-ю ошибку
502-503-error;Host не изменен на 0.0.0.0
502-503-error;запустил свой проект, но когда перехожу по доменному имени пишет 502 Bad Gateway
502-503-error;Ошибка 503
data-saving;sqltie файл обнулился
data-saving;Ошибка развертывания. Смотри лог приложения
data-saving;После пересборки папка data очищается?
data-saving;Бота загрузил, всё работает, сервер с бд (скюлайт) взаимодействует полностью, но когда скачиваю бд, то бд возвращается без изменений, хотя там изменения сохраняются
data-saving;Думал тут данные которые не удаляются при передеплое. Но у меня тут пусто. За то виду папку /data в artifacts и там данные вроде не удаляются
data-saving;как сделать, чтобы при работе с проектом в dev, не подгружалась база на prod, а то я тупо взял и перетер ее
data-saving;сохраняете в /data базу данных SQLite
data-saving;при перезапуске/пересборке проекта данные не сохраняются
UTC-time;UTC
UTC-time;на серверах Amvera время - UTC
UTC-time;время UTC (-3 часа от МСК) и может не совпадать с временем в вашем регионе
